GeneId	BiologicalProcess	CellularComponent	MolecularFunction
Ss10g02280.1	GO:0006979(response to oxidative stress),GO:0055114(oxidation-reduction process),GO:0042744(hydrogen peroxide catabolic process)	-	GO:0004601(peroxidase activity),GO:0020037(heme binding)
Ss10g02270.1	GO:0006364(rRNA processing),GO:0006139(nucleobase-containing compound metabolic process)	-	-
Ss05g19940.1	GO:0045454(cell redox homeostasis),GO:0006662(glycerol ether metabolic process)	-	GO:0015035(protein disulfide oxidoreductase activity)
Ss06g11680.1	-	-	GO:0003723(RNA binding)
Ss06g11670.1	GO:0009767(photosynthetic electron transport chain),GO:0019684(photosynthesis, light reaction)	GO:0009521(photosystem),GO:0016020(membrane)	GO:0016168(chlorophyll binding)
Ss01g28490.1	GO:0055114(oxidation-reduction process)	-	GO:0003855(3-dehydroquinate dehydratase activity),GO:0003824(catalytic activity),GO:0004764(shikimate 3-dehydrogenase (NADP+) activity)
Ss01g28480.1	-	-	GO:0003676(nucleic acid binding)
Ss06g11720.1	GO:0006096(glycolytic process)	-	GO:0003872(6-phosphofructokinase activity),GO:0005524(ATP binding),GO:0047334(diphosphate-fructose-6-phosphate 1-phosphotransferase activity)
Ss01g28470.1	GO:0005986(sucrose biosynthetic process)	-	GO:0050307(sucrose-phosphate phosphatase activity),GO:0000287(magnesium ion binding)
Ss06g11700.1	-	-	GO:0003677(DNA binding)
Ss10g16540.1	-	-	GO:0003677(DNA binding)
Ss10g16570.1	GO:0006952(defense response)	-	-
Ss10g16560.1	GO:0006952(defense response)	-	-
Ss06g11740.1	-	-	GO:0016747(transferase activity, transferring acyl groups other than amino-acyl groups)
Ss06g11730.1	-	GO:0005759(mitochondrial matrix)	-
Ss01g28530.1	-	-	GO:0005525(GTP binding)
Ss01g28520.1	-	-	GO:0005515(protein binding)
Ss03g14460.1	-	GO:0016020(membrane)	GO:0015018(galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase activity)
Ss03g14470.1	GO:0006414(translational elongation)	-	GO:0003746(translation elongation factor activity),GO:0005525(GTP binding),GO:0003924(GTPase activity)
Ss09g08330.1	GO:0006355(regulation of transcription, DNA-templated)	GO:0005634(nucleus)	-
Ss10g02710.1	GO:0006508(proteolysis)	-	GO:0008234(cysteine-type peptidase activity)
Ss03g14520.1	-	GO:0031966(mitochondrial membrane)	-
Ss03g14540.1	-	-	GO:0019905(syntaxin binding)
Ss03g14530.1	GO:0001522(pseudouridine synthesis),GO:0009451(RNA modification)	-	GO:0003723(RNA binding),GO:0009982(pseudouridine synthase activity)
Ss03g01490.1	GO:0019953(sexual reproduction)	GO:0005576(extracellular region)	-
Ss04g06270.1	GO:0055114(oxidation-reduction process),GO:0009263(deoxyribonucleotide biosynthetic process)	-	GO:0016491(oxidoreductase activity)
Ss07g01760.1	GO:0006355(regulation of transcription, DNA-templated)	-	GO:0003677(DNA binding),GO:0003700(DNA-binding transcription factor activity)
Ss07g23840.1	-	GO:0005956(protein kinase CK2 complex)	GO:0019887(protein kinase regulator activity)
Ss09g04620.1	-	-	GO:0046982(protein heterodimerization activity)
Ss01g07260.1	-	-	GO:0000287(magnesium ion binding),GO:0008897(holo-[acyl-carrier-protein] synthase activity)
Ss09g08340.1	GO:0006468(protein phosphorylation)	-	GO:0004672(protein kinase activity),GO:0005524(ATP binding)
Ss06g01170.1	-	GO:0008250(oligosaccharyltransferase complex),GO:0016021(integral component of membrane)	GO:0004579(dolichyl-diphosphooligosaccharide-protein glycotransferase activity)
Ss03g06440.1	-	-	GO:0005515(protein binding)
Ss01g16580.1	-	-	GO:0005515(protein binding)
Ss06g01120.1	-	-	GO:0003677(DNA binding)
Ss06g01110.1	GO:0009116(nucleoside metabolic process)	-	GO:0003824(catalytic activity)
Ss06g01100.1	-	-	GO:0003677(DNA binding)
Ss06g01090.1	-	-	GO:0003676(nucleic acid binding)
Ss06g01160.1	GO:0030244(cellulose biosynthetic process)	GO:0016020(membrane)	GO:0016760(cellulose synthase (UDP-forming) activity)
Ss06g01140.1	-	-	GO:0005515(protein binding),GO:0008270(zinc ion binding)
Ss06g01130.1	GO:0009116(nucleoside metabolic process)	-	GO:0003824(catalytic activity)
Ss03g08920.1	GO:0006281(DNA repair),GO:0006289(nucleotide-excision repair)	GO:0005634(nucleus)	GO:0003677(DNA binding),GO:0003824(catalytic activity),GO:0004518(nuclease activity),GO:0016788(hydrolase activity, acting on ester bonds),GO:0003697(single-stranded DNA binding),GO:0004519(endonuclease activity)
Ss09g13190.1	-	-	GO:0046983(protein dimerization activity)
Ss09g13220.1	-	-	GO:0003824(catalytic activity)
Ss08g14330.1	-	-	GO:0003676(nucleic acid binding)
Ss03g08880.1	-	-	GO:0005515(protein binding)
Ss07g10330.1	GO:0016571(histone methylation),GO:0034968(histone lysine methylation)	GO:0005634(nucleus)	GO:0005515(protein binding),GO:0008270(zinc ion binding),GO:0018024(histone-lysine N-methyltransferase activity)
Ss03g08850.1	-	GO:0005634(nucleus)	-
Ss09g13240.1	GO:0006355(regulation of transcription, DNA-templated)	-	GO:0003700(DNA-binding transcription factor activity)
Ss09g13230.1	-	-	GO:0005515(protein binding)
Ss09g08270.1	GO:0055114(oxidation-reduction process)	-	GO:0016491(oxidoreductase activity),GO:0016620(oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor)
Ss03g31990.1	-	-	GO:0016817(hydrolase activity, acting on acid anhydrides)
Ss03g13470.1	GO:0006508(proteolysis)	-	GO:0004190(aspartic-type endopeptidase activity)
Ss03g22830.1	-	-	GO:0005524(ATP binding)
Ss04g24270.1	GO:0006508(proteolysis)	-	GO:0008234(cysteine-type peptidase activity)
Ss04g24250.1	GO:0006508(proteolysis)	-	GO:0008234(cysteine-type peptidase activity)
Ss02g01780.1	GO:0016567(protein ubiquitination),GO:0006468(protein phosphorylation)	-	GO:0004842(ubiquitin-protein transferase activity),GO:0004672(protein kinase activity),GO:0005524(ATP binding)
Ss04g24310.1	-	-	GO:0005515(protein binding)
Ss04g24300.1	GO:0006486(protein glycosylation)	-	GO:0016757(transferase activity, transferring glycosyl groups)
Ss03g31960.1	-	-	GO:0016747(transferase activity, transferring acyl groups other than amino-acyl groups)
Ss04g24340.1	GO:0055114(oxidation-reduction process)	-	GO:0016491(oxidoreductase activity)
Ss04g24330.1	GO:0006139(nucleobase-containing compound metabolic process)	-	GO:0004017(adenylate kinase activity),GO:0005524(ATP binding),GO:0016776(phosphotransferase activity, phosphate group as acceptor),GO:0019205(nucleobase-containing compound kinase activity)
Ss09g08280.1	GO:0035434(copper ion transmembrane transport)	GO:0016021(integral component of membrane)	GO:0005375(copper ion transmembrane transporter activity)
Ss03g31950.1	-	-	GO:0016758(transferase activity, transferring hexosyl groups)
Ss03g31930.1	GO:0006355(regulation of transcription, DNA-templated)	GO:0005634(nucleus)	GO:0003700(DNA-binding transcription factor activity),GO:0043565(sequence-specific DNA binding)
Ss02g09580.1	GO:0006468(protein phosphorylation)	-	GO:0030246(carbohydrate binding),GO:0004672(protein kinase activity),GO:0005524(ATP binding)
Ss07g10350.1	GO:0055085(transmembrane transport)	GO:0016020(membrane),GO:0016021(integral component of membrane)	GO:0022857(transmembrane transporter activity),GO:0005215(transporter activity)
Ss02g02020.1	GO:0006468(protein phosphorylation)	-	GO:0005524(ATP binding),GO:0004672(protein kinase activity)
Ss02g07320.1	GO:0005975(carbohydrate metabolic process)	-	GO:0004553(hydrolase activity, hydrolyzing O-glycosyl compounds),GO:0003824(catalytic activity)
Ss02g07330.1	-	-	GO:0003950(NAD+ ADP-ribosyltransferase activity)
Ss02g07340.1	GO:0007165(signal transduction),GO:0000160(phosphorelay signal transduction system),GO:0016310(phosphorylation)	-	GO:0000155(phosphorelay sensor kinase activity),GO:0016772(transferase activity, transferring phosphorus-containing groups)
Ss02g07350.1	GO:0016567(protein ubiquitination)	-	GO:0004842(ubiquitin-protein transferase activity)
Ss02g09490.1	GO:0006468(protein phosphorylation)	-	GO:0004672(protein kinase activity),GO:0005524(ATP binding),GO:0030246(carbohydrate binding)
Ss02g09500.1	GO:0006468(protein phosphorylation)	-	GO:0030246(carbohydrate binding),GO:0004672(protein kinase activity),GO:0005524(ATP binding)
Ss02g09510.1	GO:0006468(protein phosphorylation)	-	GO:0004672(protein kinase activity),GO:0005524(ATP binding),GO:0030246(carbohydrate binding)
Ss02g09520.1	GO:0006468(protein phosphorylation)	-	GO:0005524(ATP binding),GO:0030246(carbohydrate binding),GO:0004672(protein kinase activity),GO:0004713(protein tyrosine kinase activity)
Ss02g09530.1	-	-	GO:0005515(protein binding)
Ss02g09540.1	GO:0006468(protein phosphorylation)	-	GO:0030246(carbohydrate binding),GO:0004672(protein kinase activity),GO:0005524(ATP binding)
Ss02g09550.1	GO:0006468(protein phosphorylation)	-	GO:0004672(protein kinase activity),GO:0005524(ATP binding),GO:0030246(carbohydrate binding)
Ss06g24850.1	GO:0006468(protein phosphorylation)	-	GO:0004672(protein kinase activity),GO:0005524(ATP binding)
Ss02g31740.1	GO:0006979(response to oxidative stress),GO:0055114(oxidation-reduction process),GO:0042744(hydrogen peroxide catabolic process)	-	GO:0004601(peroxidase activity),GO:0020037(heme binding)
Ss02g31770.1	-	-	GO:0005516(calmodulin binding)
Ss02g31760.1	GO:0055114(oxidation-reduction process)	-	GO:0016491(oxidoreductase activity)
Ss02g31710.1	GO:0006468(protein phosphorylation)	-	GO:0004672(protein kinase activity),GO:0005524(ATP binding),GO:0005515(protein binding)
Ss02g31700.1	GO:0006468(protein phosphorylation)	-	GO:0004672(protein kinase activity),GO:0005524(ATP binding)
Ss02g31730.1	-	-	GO:0005515(protein binding)
Ss02g31720.1	-	-	GO:0003676(nucleic acid binding)
Ss07g22280.1	GO:0006139(nucleobase-containing compound metabolic process)	-	GO:0003676(nucleic acid binding),GO:0008408(3'-5' exonuclease activity)
Ss06g24780.1	GO:0006032(chitin catabolic process),GO:0016998(cell wall macromolecule catabolic process),GO:0005975(carbohydrate metabolic process)	-	GO:0004568(chitinase activity),GO:0008061(chitin binding)
Ss06g24790.1	GO:0006032(chitin catabolic process),GO:0016998(cell wall macromolecule catabolic process),GO:0005975(carbohydrate metabolic process)	-	GO:0008061(chitin binding),GO:0004568(chitinase activity)
Ss06g24800.1	GO:0006355(regulation of transcription, DNA-templated)	-	GO:0003677(DNA binding)
Ss06g24810.1	GO:0005975(carbohydrate metabolic process),GO:0005978(glycogen biosynthetic process)	-	GO:0004553(hydrolase activity, hydrolyzing O-glycosyl compounds),GO:0003824(catalytic activity),GO:0043169(cation binding),GO:0003844(1,4-alpha-glucan branching enzyme activity)
Ss07g25640.1	GO:0006281(DNA repair)	GO:0005634(nucleus)	GO:0008081(phosphoric diester hydrolase activity)
Ss06g24830.1	-	-	GO:0003676(nucleic acid binding)
Ss06g24840.1	GO:0055114(oxidation-reduction process),GO:0006979(response to oxidative stress)	-	GO:0004096(catalase activity),GO:0020037(heme binding)
Ss05g12340.1	GO:0007018(microtubule-based movement)	-	GO:0003777(microtubule motor activity),GO:0005524(ATP binding),GO:0008017(microtubule binding)
Ss01g43880.1	-	-	GO:0003676(nucleic acid binding)
Ss05g12360.1	GO:0015031(protein transport)	GO:0016020(membrane)	-
Ss01g43900.1	GO:0055085(transmembrane transport),GO:0006857(oligopeptide transport)	GO:0016020(membrane)	GO:0022857(transmembrane transporter activity),GO:0005215(transporter activity)
Ss05g12300.1	-	-	GO:0016787(hydrolase activity)
Ss05g12310.1	GO:0006468(protein phosphorylation)	-	GO:0004672(protein kinase activity),GO:0005524(ATP binding)
Ss05g12320.1	-	-	GO:0005515(protein binding)
Ss05g12330.1	GO:0000079(regulation of cyclin-dependent protein serine/threonine kinase activity)	-	GO:0019901(protein kinase binding)
Ss01g43950.1	-	-	GO:0005515(protein binding),GO:0008270(zinc ion binding)
Ss01g43960.1	-	GO:0009507(chloroplast)	-
Ss09g08300.1	GO:0006508(proteolysis)	-	GO:0004252(serine-type endopeptidase activity)
Ss07g23940.1	-	-	GO:0005515(protein binding)
Ss05g12380.1	-	-	GO:0008270(zinc ion binding)
Ss03g36520.1	GO:0006355(regulation of transcription, DNA-templated)	-	GO:0003677(DNA binding)
Ss03g36530.1	GO:0006555(methionine metabolic process),GO:0055114(oxidation-reduction process)	-	GO:0004489(methylenetetrahydrofolate reductase (NAD(P)H) activity)
Ss11g07870.1	-	-	GO:0003676(nucleic acid binding)
Ss03g36440.1	-	GO:0005737(cytoplasm),GO:0005852(eukaryotic translation initiation factor 3 complex)	GO:0003743(translation initiation factor activity)
Ss03g36450.1	GO:0015995(chlorophyll biosynthetic process)	-	GO:0005524(ATP binding),GO:0016851(magnesium chelatase activity)
Ss03g36500.1	-	-	GO:0005509(calcium ion binding)
Ss01g03500.1	-	-	GO:0008270(zinc ion binding)
Ss07g31990.1	-	-	GO:0005515(protein binding),GO:0016301(kinase activity)
Ss01g03460.1	GO:0006355(regulation of transcription, DNA-templated)	GO:0005634(nucleus)	GO:0043565(sequence-specific DNA binding),GO:0046982(protein heterodimerization activity)
Ss01g03450.1	GO:0006355(regulation of transcription, DNA-templated)	GO:0005634(nucleus)	GO:0046982(protein heterodimerization activity),GO:0043565(sequence-specific DNA binding)
Ss01g03480.1	-	-	GO:0008270(zinc ion binding)
Ss07g31950.1	-	-	GO:0005515(protein binding)
Ss01g03410.1	-	-	GO:0008270(zinc ion binding)
Ss01g03440.1	GO:0006511(ubiquitin-dependent protein catabolic process)	-	GO:0031625(ubiquitin protein ligase binding)
Ss01g03430.1	GO:0055114(oxidation-reduction process)	-	GO:0016491(oxidoreductase activity)
Ss05g08060.1	-	GO:0016021(integral component of membrane)	-
Ss05g08070.1	GO:0006412(translation)	GO:0005622(intracellular),GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)
Ss05g08080.1	-	-	GO:0003677(DNA binding)
Ss05g08090.1	GO:0016567(protein ubiquitination)	-	GO:0004842(ubiquitin-protein transferase activity),GO:0005515(protein binding)
Ss05g08020.1	-	GO:0016020(membrane)	-
Ss06g22340.1	-	-	GO:0005515(protein binding)
Ss05g08050.1	GO:0006869(lipid transport)	-	GO:0008289(lipid binding)
Ss06g22290.1	-	-	GO:0005515(protein binding)
Ss06g22300.1	GO:0006468(protein phosphorylation)	-	GO:0004672(protein kinase activity),GO:0005524(ATP binding)
Ss06g22310.1	GO:0006260(DNA replication),GO:0006281(DNA repair),GO:0006310(DNA recombination)	GO:0005634(nucleus)	GO:0003677(DNA binding)
Ss06g22320.1	-	-	GO:0003676(nucleic acid binding),GO:0008270(zinc ion binding)
Ss06g22250.1	-	-	GO:0003676(nucleic acid binding),GO:0008270(zinc ion binding)
Ss06g22260.1	-	-	GO:0005515(protein binding)
Ss06g22280.1	-	-	GO:0005515(protein binding)
Ss05g10610.1	GO:0030001(metal ion transport)	GO:0016020(membrane)	GO:0046873(metal ion transmembrane transporter activity)
Ss05g10620.1	GO:0009113(purine nucleobase biosynthetic process),GO:0009116(nucleoside metabolic process)	-	GO:0004044(amidophosphoribosyltransferase activity)
Ss01g13390.1	GO:0006366(transcription by RNA polymerase II),GO:0006367(transcription initiation from RNA polymerase II promoter)	GO:0005674(transcription factor TFIIF complex)	-
Ss01g13380.1	GO:0034968(histone lysine methylation)	GO:0005634(nucleus)	GO:0005515(protein binding),GO:0008270(zinc ion binding),GO:0018024(histone-lysine N-methyltransferase activity)
Ss01g12420.1	GO:0042545(cell wall modification)	-	GO:0004857(enzyme inhibitor activity),GO:0030599(pectinesterase activity)
Ss01g13350.1	GO:0005975(carbohydrate metabolic process)	-	GO:0004553(hydrolase activity, hydrolyzing O-glycosyl compounds)
Ss05g10550.1	GO:0055085(transmembrane transport)	GO:0016020(membrane)	GO:0022857(transmembrane transporter activity)
Ss01g13300.1	-	-	GO:0005515(protein binding),GO:0008270(zinc ion binding)
Ss05g10600.1	GO:0006468(protein phosphorylation)	-	GO:0004672(protein kinase activity),GO:0005524(ATP binding)
Ss05g18150.1	GO:0006468(protein phosphorylation)	-	GO:0004672(protein kinase activity),GO:0005524(ATP binding)
Ss05g18160.1	GO:0006468(protein phosphorylation)	-	GO:0005524(ATP binding),GO:0004672(protein kinase activity)
Ss05g18170.1	-	-	GO:0008270(zinc ion binding)
Ss05g18180.1	-	-	GO:0005515(protein binding)
Ss02g16920.1	-	-	GO:0003677(DNA binding)
Ss05g18210.1	GO:0055114(oxidation-reduction process)	-	GO:0016491(oxidoreductase activity)
Ss02g15040.1	GO:0006457(protein folding)	-	GO:0000774(adenyl-nucleotide exchange factor activity),GO:0042803(protein homodimerization activity),GO:0051087(chaperone binding)
Ss09g17550.1	-	-	GO:0005515(protein binding)
Ss02g28590.1	GO:0006508(proteolysis)	-	GO:0004252(serine-type endopeptidase activity)
Ss01g43890.1	-	-	GO:0046872(metal ion binding)
Ss05g07600.1	GO:0055114(oxidation-reduction process)	-	GO:0016491(oxidoreductase activity)
Ss02g28520.1	GO:0006355(regulation of transcription, DNA-templated)	-	GO:0003677(DNA binding)
Ss05g07550.1	GO:0006355(regulation of transcription, DNA-templated)	-	GO:0003700(DNA-binding transcription factor activity)
Ss05g07560.1	-	-	GO:0005525(GTP binding)
Ss02g28540.1	-	-	GO:0043531(ADP binding)
Ss03g39190.1	-	-	GO:0005515(protein binding)
Ss07g10380.1	-	GO:0016021(integral component of membrane)	-
Ss03g00770.1	GO:0006729(tetrahydrobiopterin biosynthetic process)	-	GO:0008124(4-alpha-hydroxytetrahydrobiopterin dehydratase activity)
Ss08g05010.1	-	-	GO:0005515(protein binding)
Ss08g04960.1	GO:0006457(protein folding)	-	GO:0005524(ATP binding),GO:0051082(unfolded protein binding)
Ss08g04970.1	GO:0006508(proteolysis)	-	GO:0004190(aspartic-type endopeptidase activity)
Ss08g04990.1	-	-	GO:0003824(catalytic activity)
Ss04g21650.1	GO:0005975(carbohydrate metabolic process),GO:0006072(glycerol-3-phosphate metabolic process)	-	GO:0016773(phosphotransferase activity, alcohol group as acceptor),GO:0004370(glycerol kinase activity)
Ss08g04940.1	GO:0006189('de novo' IMP biosynthetic process),GO:0009058(biosynthetic process)	-	GO:0004644(phosphoribosylglycinamide formyltransferase activity),GO:0016742(hydroxymethyl-, formyl- and related transferase activity)
Ss04g24460.1	GO:0000160(phosphorelay signal transduction system)	-	-
Ss07g14010.1	GO:0007275(multicellular organism development)	-	-
Ss01g07720.1	GO:0006355(regulation of transcription, DNA-templated)	-	GO:0003700(DNA-binding transcription factor activity)
Ss04g21260.1	-	GO:0016020(membrane)	-
Ss10g07500.1	GO:0055114(oxidation-reduction process)	-	GO:0005506(iron ion binding),GO:0016705(oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen),GO:0020037(heme binding)
Ss11g13500.1	GO:0008283(cell proliferation)	GO:0005576(extracellular region)	GO:0008083(growth factor activity)
Ss11g10910.1	-	-	GO:0016301(kinase activity)
Ss04g21250.1	GO:0006816(calcium ion transport),GO:0055085(transmembrane transport),GO:0006812(cation transport)	GO:0016021(integral component of membrane)	GO:0015369(calcium:proton antiporter activity),GO:0008324(cation transmembrane transporter activity)
Ss10g07530.1	-	-	GO:0043531(ADP binding)
Ss10g07520.1	-	-	GO:0016491(oxidoreductase activity)
Ss11g13410.1	GO:0048544(recognition of pollen)	-	-
Ss11g10860.1	-	-	GO:0003676(nucleic acid binding),GO:0004523(RNA-DNA hybrid ribonuclease activity)
Ss10g07550.1	-	-	GO:0005515(protein binding)
Ss11g13440.1	GO:0048544(recognition of pollen)	-	-
Ss11g10890.1	-	-	GO:0045735(nutrient reservoir activity)
Ss11g10900.1	-	-	GO:0045735(nutrient reservoir activity)
Ss11g10870.1	-	-	GO:0045735(nutrient reservoir activity)
Ss11g10880.1	-	-	GO:0045735(nutrient reservoir activity)
Ss09g04910.1	-	-	GO:0005515(protein binding)
Ss08g10270.1	-	GO:0016021(integral component of membrane)	-
Ss01g01670.1	GO:0006468(protein phosphorylation),GO:0048544(recognition of pollen)	-	GO:0004672(protein kinase activity),GO:0005524(ATP binding),GO:0004674(protein serine/threonine kinase activity)
Ss09g04870.1	GO:0034968(histone lysine methylation),GO:0016571(histone methylation)	GO:0005634(nucleus)	GO:0008270(zinc ion binding),GO:0018024(histone-lysine N-methyltransferase activity),GO:0005515(protein binding)
Ss09g04880.1	-	-	GO:0003723(RNA binding)
Ss02g15540.1	GO:0090481(pyrimidine nucleotide-sugar transmembrane transport)	GO:0000139(Golgi membrane),GO:0016021(integral component of membrane)	GO:0015165(pyrimidine nucleotide-sugar transmembrane transporter activity)
Ss08g10220.1	-	-	GO:0003682(chromatin binding)
Ss04g24510.1	GO:0006744(ubiquinone biosynthetic process)	GO:0005743(mitochondrial inner membrane)	-
Ss08g10230.1	GO:0006284(base-excision repair),GO:0006289(nucleotide-excision repair),GO:0006281(DNA repair)	-	GO:0003684(damaged DNA binding),GO:0003906(DNA-(apurinic or apyrimidinic site) endonuclease activity),GO:0008270(zinc ion binding),GO:0016799(hydrolase activity, hydrolyzing N-glycosyl compounds),GO:0003676(nucleic acid binding),GO:0008534(oxidized purine nucleobase lesion DNA N-glycosylase activity)
Ss08g10260.1	GO:0019674(NAD metabolic process),GO:0006741(NADP biosynthetic process)	-	GO:0003951(NAD+ kinase activity)
Ss03g06380.1	GO:0006869(lipid transport)	-	GO:0008289(lipid binding)
Ss07g27810.1	-	-	GO:0070006(metalloaminopeptidase activity),GO:0016787(hydrolase activity)
Ss03g37780.1	-	-	GO:0003824(catalytic activity)
Ss07g27790.1	GO:0006508(proteolysis)	-	GO:0004252(serine-type endopeptidase activity)
Ss07g27780.1	GO:0006508(proteolysis)	-	GO:0004252(serine-type endopeptidase activity)
Ss07g27770.1	-	-	GO:0003824(catalytic activity),GO:0048037(cofactor binding)
Ss03g39260.1	-	-	GO:0003824(catalytic activity)
Ss07g27750.1	GO:0005975(carbohydrate metabolic process)	-	GO:0004553(hydrolase activity, hydrolyzing O-glycosyl compounds)
Ss07g27740.1	GO:0015979(photosynthesis)	GO:0009522(photosystem I),GO:0009579(thylakoid),GO:0016021(integral component of membrane)	-
Ss07g27730.1	GO:0009767(photosynthetic electron transport chain),GO:0015979(photosynthesis),GO:0019684(photosynthesis, light reaction)	GO:0009523(photosystem II),GO:0016021(integral component of membrane)	GO:0020037(heme binding),GO:0046872(metal ion binding)
Ss02g22130.1	GO:0006506(GPI anchor biosynthetic process)	GO:0016021(integral component of membrane)	GO:0017176(phosphatidylinositol N-acetylglucosaminyltransferase activity)
Ss10g01140.1	-	-	GO:0030246(carbohydrate binding)
Ss03g37770.1	-	-	GO:0004857(enzyme inhibitor activity)
Ss07g19430.1	GO:0055114(oxidation-reduction process)	-	GO:0005506(iron ion binding),GO:0016705(oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen),GO:0020037(heme binding)
Ss07g27360.1	GO:0055085(transmembrane transport)	GO:0016021(integral component of membrane)	GO:0005215(transporter activity),GO:0022857(transmembrane transporter activity)
Ss03g26620.1	GO:0006811(ion transport),GO:0055085(transmembrane transport)	GO:0016020(membrane)	GO:0005515(protein binding),GO:0005216(ion channel activity)
Ss07g27710.1	-	GO:0016021(integral component of membrane)	GO:0016765(transferase activity, transferring alkyl or aryl (other than methyl) groups)
Ss03g37730.1	GO:0006629(lipid metabolic process)	-	-
Ss01g02930.1	-	-	GO:0003676(nucleic acid binding)
Ss05g04760.1	GO:0055114(oxidation-reduction process)	-	GO:0051536(iron-sulfur cluster binding),GO:0008137(NADH dehydrogenase (ubiquinone) activity),GO:0048038(quinone binding),GO:0051539(4 iron, 4 sulfur cluster binding)
Ss05g04770.1	-	-	GO:0004373(glycogen (starch) synthase activity)
Ss05g04740.1	-	-	GO:0005515(protein binding)
Ss05g04750.1	GO:0006457(protein folding)	-	GO:0005524(ATP binding),GO:0051082(unfolded protein binding)
Ss05g04720.1	GO:0030001(metal ion transport)	-	GO:0046872(metal ion binding)
Ss05g04730.1	-	-	GO:0005509(calcium ion binding)
Ss04g16550.1	-	-	GO:0005515(protein binding)
Ss05g04780.1	GO:0006535(cysteine biosynthetic process from serine)	GO:0005737(cytoplasm)	GO:0009001(serine O-acetyltransferase activity),GO:0016740(transferase activity)
Ss01g20730.1	GO:0015991(ATP hydrolysis coupled proton transport)	GO:0033178(proton-transporting two-sector ATPase complex, catalytic domain)	GO:0046961(proton-transporting ATPase activity, rotational mechanism)
Ss01g05550.1	-	-	GO:0016757(transferase activity, transferring glycosyl groups)
Ss02g10220.1	GO:0005975(carbohydrate metabolic process)	-	GO:0030246(carbohydrate binding),GO:0004553(hydrolase activity, hydrolyzing O-glycosyl compounds)
Ss01g20670.1	GO:0005975(carbohydrate metabolic process)	-	GO:0004553(hydrolase activity, hydrolyzing O-glycosyl compounds)
Ss01g20680.1	-	-	GO:0005515(protein binding)
Ss07g19480.1	GO:0006821(chloride transport),GO:0055085(transmembrane transport)	GO:0016020(membrane)	GO:0005247(voltage-gated chloride channel activity)
Ss02g10260.1	GO:0000160(phosphorelay signal transduction system)	-	-
Ss02g10270.1	GO:0009690(cytokinin metabolic process),GO:0055114(oxidation-reduction process)	-	GO:0071949(FAD binding),GO:0050660(flavin adenine dinucleotide binding),GO:0019139(cytokinin dehydrogenase activity),GO:0003824(catalytic activity),GO:0016491(oxidoreductase activity)
Ss03g26700.1	-	-	GO:0008270(zinc ion binding)
Ss04g16600.1	GO:0019953(sexual reproduction)	GO:0005576(extracellular region)	-
Ss04g16610.1	GO:0000079(regulation of cyclin-dependent protein serine/threonine kinase activity)	-	GO:0019901(protein kinase binding)
Ss02g24880.1	-	-	GO:0008289(lipid binding)
Ss02g24860.1	GO:0065003(protein-containing complex assembly)	GO:0005739(mitochondrion)	-
Ss02g24850.1	GO:0000413(protein peptidyl-prolyl isomerization)	-	GO:0003755(peptidyl-prolyl cis-trans isomerase activity)
Ss06g17190.1	GO:0006788(heme oxidation),GO:0055114(oxidation-reduction process)	-	GO:0004392(heme oxygenase (decyclizing) activity)
Ss06g17180.1	GO:0055114(oxidation-reduction process)	-	GO:0016491(oxidoreductase activity)
Ss06g17150.1	-	GO:0016020(membrane)	GO:0008375(acetylglucosaminyltransferase activity)
Ss06g24550.1	-	-	GO:0016788(hydrolase activity, acting on ester bonds)
Ss09g04940.1	GO:0055114(oxidation-reduction process)	-	GO:0016614(oxidoreductase activity, acting on CH-OH group of donors),GO:0050660(flavin adenine dinucleotide binding)
Ss06g17220.1	GO:0006383(transcription by RNA polymerase III)	GO:0005666(RNA polymerase III complex)	-
Ss03g04790.1	-	-	GO:0005509(calcium ion binding),GO:0005544(calcium-dependent phospholipid binding)
Ss03g04800.1	-	-	GO:0005515(protein binding)
Ss03g12680.1	GO:0006468(protein phosphorylation)	-	GO:0004672(protein kinase activity),GO:0005524(ATP binding)
Ss03g04730.1	-	-	GO:0005515(protein binding)
Ss03g12670.1	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)
Ss03g12650.1	-	-	GO:0005524(ATP binding)
Ss03g12620.1	GO:0045944(positive regulation of transcription by RNA polymerase II)	-	GO:0000977(RNA polymerase II regulatory region sequence-specific DNA binding),GO:0003677(DNA binding),GO:0046983(protein dimerization activity)
Ss03g12600.1	GO:0006468(protein phosphorylation)	-	GO:0004672(protein kinase activity),GO:0005524(ATP binding)
Ss03g04760.1	GO:0055114(oxidation-reduction process)	-	GO:0005506(iron ion binding),GO:0016705(oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen),GO:0020037(heme binding)
Ss04g25990.1	-	-	GO:0005515(protein binding)
Ss06g12220.1	GO:0006508(proteolysis)	-	GO:0008234(cysteine-type peptidase activity)
Ss01g39680.1	-	-	GO:0003676(nucleic acid binding),GO:0005524(ATP binding)
